rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
1,1,228894.4512,3828008.595,161,1540,10,0,393,3713,1062,0,7,12,5
2,1,227402.3068,3832861.719,73,1529,10,0,391,3131,751,4,7,10,5
3,1,218155.1974,3842941.184,153,1579,10,0,392,2768,751,2,12,0,5
4,1,223411.3645,3849609.256,-1,1561,10,-8,386,3914,1062,0,12,15,5
5,1,233028.4153,3855851.624,180,1578,10,8,377,2822,751,0,2,7,5
6,1,225254.4495,3821927.274,315,1455,10,0,399,2768,2655,0,3,13,5
7,1,191794.6065,3822372.697,239,1363,10,8,417,782,1062,4,9,0,5
8,1,185131.618,3827358.748,198,1425,10,6,420,1660,531,3,9,5,5
9,1,180550.263,3815810.652,198,1286,10,-5,425,0,751,0,7,13,5
10,1,174687.096,3821363.017,45,1289,10,-3,428,0,2253,1,2,12,5
11,1,240553.5007,3799508.463,108,1497,10,-7,401,1565,531,0,11,10,5
12,1,238016.6401,3792912.727,-1,1491,10,-7,406,0,751,0,7,12,5
13,1,244854.1032,3791470.381,270,1513,10,0,404,553,531,0,10,3,5
14,1,189323.7055,3853307.839,315,1694,1,0,408,553,531,0,2,10,5
15,1,237478.1785,3852166.969,243,1618,1,0,375,0,531,2,8,1,5
16,1,265649.3873,3826027.156,280,1839,1,7,372,553,0,5,8,1,5
17,1,299326.164,3797603.104,246,1750,1,3,372,2822,0,1,6,9,5
18,1,258875.4125,3785877.35,274,1711,1,-4,402,782,531,5,12,7,5
19,1,165800.5251,3808064.064,135,1342,1,0,436,1996,0,4,7,-4,5
20,1,195937.7128,3820038.02,156,1351,1,7,415,0,0,1,9,0,5
21,1,176713.5776,3857047.049,96,1674,3,-1,418,782,531,2,7,12,5
22,1,227629.2076,3814651.032,315,1457,10,-4,400,1996,1593,0,7,11,5
23,1,235732.1711,3846410.619,270,1544,10,-5,379,553,2374,0,2,11,5
24,1,233692.3607,3841461.553,135,1525,10,-1,382,553,2189,0,8,8,5
25,0,150266.1303,3829133.78,35,1981,8,0,444,553,9274,33,9,0,1
26,0,156173.1908,3832013.827,322,2159,8,0,439,2282,5310,18,7,4,1
